URL,Company Name,Sector,LTP,P/E Ratio,Market Cap,Enterprise Value,No. of Shares,P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth
https://ticker.finology.in/company/PATANJALI,Patanjali Foods Ltd.,Edible Oil,1745.10,N/A,1755.65,1715.95,2030,5.83,2,"0.34
                                %",299.33,833.58 Cr.,1047.54 Cr.,69.76 %,27.48,0.62
https://ticker.finology.in/company/OFSS,Oracle Financial Services Software Ltd.,IT - Software,12650.50,N/A,12780,12299.85,13045.75,21.2,5,"1.9
                                %",596.86,3287.6 Cr.,0 Cr.,72.69 %,254.83,12.43
https://ticker.finology.in/company/KITEX,Kitex Garments Ltd.,Textile,704.90,N/A,747,704.9,900,4.58,1,"0.21
                                %",153.82,65.88 Cr.,76.52 Cr.,56.66 %,17.58,10.76
https://ticker.finology.in/company/HEUBACHIND,Heubach Colorants India Ltd.,Chemicals,541.20,N/A,544.7,540.05,733.25,2.52,10,"0
                                %",214.43,113.29 Cr.,0 Cr.,54.37 %,15.51,3.17
https://ticker.finology.in/company/TRIVENI,Triveni Engineering & Industries Ltd.,Sugar,499.30,N/A,513.7,486.75,518.2,3.8,1,"1.15
                                %",131.35,72.52 Cr.,1324.61 Cr.,60.98 %,14.32,-7.05
https://ticker.finology.in/company/CARYSIL,Carysil Ltd.,Household & Personal Products,764.70,N/A,782.15,761.4,1148.1,5.58,2,"0.26
                                %",136.95,4.4 Cr.,136.53 Cr.,41.37 %,13.91,10.59
https://ticker.finology.in/company/MASFIN,MAS Financial Services Ltd.,Finance Term Lending,269.95,N/A,272,269.95,387.7,2.04,10,"1.3
                                %",132.33,1217.15 Cr.,247.75 Cr.,66.63 %,15.29,29.92
https://ticker.finology.in/company/RELINFRA,Reliance Infrastructure Ltd.,Power Generation/Distribution,299.90,N/A,310,297.8,350.9,1.45,10,"0
                                %",206.57,182.48 Cr.,3059.84 Cr.,16.5 %,16.39,-47.57
https://ticker.finology.in/company/TATACOMM,Tata Communications Ltd.,Telecommunication - Service  Provider,1713.55,N/A,1743.4,1706,2175,5.07,10,"0.97
                                %",338.12,320.57 Cr.,2713.13 Cr.,58.86 %,12.91,10.44
https://ticker.finology.in/company/AVALON,Avalon Technologies Ltd.,Electronics - Components,1011.95,N/A,1034.95,930.2,1074,9.71,2,"0
                                %",104.21,50.55 Cr.,27.78 Cr.,50.7 %,4.52,-7.86
https://ticker.finology.in/company/TIPSMUSIC,Tips Music Ltd.,"Film Production, Distribution & Entertainment",790.95,N/A,800.95,780.05,950,50.77,1,"0.76
                                %",15.58,131.19 Cr.,0 Cr.,64.15 %,11.9,29.34
https://ticker.finology.in/company/TATACONSUM,Tata Consumer Products Ltd.,Tea/Coffee,907.40,N/A,911,899.95,1254.01,5.56,1,"0.85
                                %",163.15,200.02 Cr.,1444.3 Cr.,33.84 %,8.46,10.53
https://ticker.finology.in/company/CONTROLPR,Control Print Ltd.,IT - Hardware,735.70,N/A,743.55,720.2,1076.85,3.32,10,"1.22
                                %",221.91,9.63 Cr.,0 Cr.,52.73 %,37.47,17.93
https://ticker.finology.in/company/KRBL,KRBL Ltd.,Consumer Food,293.35,N/A,295.5,287.3,386.5,1.36,1,"1.36
                                %",216.08,28.95 Cr.,507.03 Cr.,60.17 %,19.08,0.37
https://ticker.finology.in/company/KAYA,Kaya Ltd.,Hospital & Healthcare Services,353.80,N/A,353.8,353.8,702.25,0,10,"0
                                %",-92.96,8.46 Cr.,125.69 Cr.,59.64 %,-77.71,17.95
