URL,Company Name,Sector,LTP,P/E Ratio,Market Cap (Cr),Enterprise Value (Cr),No. of Shares (Cr),P/B Ratio,Face Value,Div. Yield,Book Value (TTM),CASH,DEBT,Promoter Holding,EPS (TTM),Sales Growth (%)
https://ticker.finology.in/company/DTIL,Dhunseri Tea & Industries Ltd.,Tea/Coffee,261.55,N/A,261.55,252.65,311.85,0.48,10,"0
                                %",542.83,3.38 Cr.,115.83 Cr.,68.9 %,-36.2,37.11
https://ticker.finology.in/company/UMESLTD,Usha Martin Education & Solutions Ltd.,IT - Education,6.45,N/A,6.67,6.37,10.29,1.24,1,"0
                                %",5.19,0.03 Cr.,1.7 Cr.,39.82 %,0.04,11.79
https://ticker.finology.in/company/ARVIND,Arvind Ltd.,Textile,353.65,N/A,356.3,343.9,421,2.72,10,"1.34
                                %",130.24,38.99 Cr.,1247.77 Cr.,39.59 %,8.13,-8.06
https://ticker.finology.in/company/VIVIDHA,Visagar Polytex Ltd.,Textile,1.03,N/A,1.05,0.99,2.12,42.39,1,"0
                                %",0.02,0 Cr.,6.5 Cr.,5.63 %,-0.53,941.82
https://ticker.finology.in/company/SUNDARAM,Sundaram Multi Pap Ltd.,Paper & Paper Products,2.47,N/A,2.58,2.46,4.18,1.29,1,"0
                                %",1.92,0.22 Cr.,31.85 Cr.,31.11 %,-0.07,11.09
https://ticker.finology.in/company/KICL,Kalyani Investment Company Ltd.,Finance - Investment,6744.25,N/A,7117.75,6639.15,8211.5,0.29,10,"0
                                %",23580.52,71.45 Cr.,57.19 Cr.,74.97 %,146.86,20.07
https://ticker.finology.in/company/ELDEHSG,Eldeco Housing & Industries Ltd.,Construction - Real Estate,830.00,N/A,834.5,778.1,1172,2.47,2,"0.96
                                %",335.6,73.47 Cr.,39.95 Cr.,54.83 %,33.06,-9.01
https://ticker.finology.in/company/VALIANTLAB,Valiant Laboratories Ltd.,Pharmaceuticals & Drugs,109.90,N/A,112.25,108.05,226.95,2.08,10,"0
                                %",52.91,96.72 Cr.,59.4 Cr.,74.94 %,-2.69,-45.48
https://ticker.finology.in/company/SONACOMS,Sona BLW Precision Forgings Ltd.,Auto Ancillary,684.45,N/A,694,674.4,767.8,8.25,10,"0.45
                                %",82.95,197.79 Cr.,233.06 Cr.,28.04 %,8.68,17.2
https://ticker.finology.in/company/VOLTAMP,Voltamp Transformers Ltd.,Electric Equipment,9529.45,N/A,9990.5,9455,14800,6.8,10,"0.94
                                %",1401.2,29.42 Cr.,0 Cr.,38 %,339.35,16.69
